title,address,price,url
Prodej bytu 1+kk 49 m²,Praha 10 - Štěrboholy,1 490 000 Kč,/detail/prodej/byt/1+kk/praha-sterboholy-/1357608780
Prodej bytu 1+kk 13 m²,Umělecká, Praha 7 - Holešovice,1 490 000 Kč,/detail/prodej/byt/1+kk/praha-holesovice-umelecka/183583820
Prodej bytu 1+kk 13 m²,Umělecká, Praha 7 - Holešovice,1 580 000 Kč,/detail/prodej/byt/1+kk/praha-holesovice-umelecka/3787564620
Prodej bytu 1+kk 24 m²,U louky, Praha 4 - Újezd u Průhonic,1 690 000 Kč,/detail/prodej/byt/1+kk/praha-ujezd-u-pruhonic-u-louky/4209919052
Prodej bytu 1+kk 40 m²,Kardausova, Praha 10 - Dolní Měcholupy,1 790 000 Kč,/detail/prodej/byt/1+kk/praha-dolni-mecholupy-kardausova/3672663116
Prodej bytu 1+kk 26 m²,Vítové, Praha 5 - Hlubočepy,1 875 425 Kč,/detail/prodej/byt/1+kk/praha-hlubocepy-vitove/4035986508
Prodej bytu 1+kk 13 m²,Prosecká, Praha 9 - Prosek,2 098 000 Kč,/detail/prodej/byt/1+kk/praha-prosek-prosecka/3778565196
Prodej bytu 1+kk 27 m²,Lupáčova, Praha 3 - Žižkov,2 100 000 Kč,/detail/prodej/byt/1+kk/praha-zizkov-lupacova/104023116
Prodej bytu 1+kk 20 m²,Pod Čertovou skalou, Praha 8 - Libeň,2 200 000 Kč,/detail/prodej/byt/1+kk/praha-liben-pod-certovou-skalou/767841356
Prodej bytu 1+kk 13 m²,Prosecká, Praha 9 - Prosek,2 250 000 Kč,/detail/prodej/byt/1+kk/praha-prosek-prosecka/229270604
Prodej bytu 1+kk 19 m²,V olšinách, Praha 10 - Vršovice,2 350 000 Kč,/detail/prodej/byt/1+kk/praha-vrsovice-v-olsinach/1504007244
Prodej bytu 1+kk 37 m²,Ondrákové, Praha 5 - Hlubočepy,2 387 000 Kč,/detail/prodej/byt/1+kk/praha-hlubocepy-ondrakove/1111774284
Prodej bytu 1+kk 23 m²,Čerčanská, Praha 4 - Krč,2 489 183 Kč,/detail/prodej/byt/1+kk/praha-krc-cercanska/1788150860
Prodej bytu 1+kk 14 m²,Prosecká, Praha,2 490 000 Kč,/detail/prodej/byt/1+kk/praha--prosecka/3567936588
Prodej bytu 1+kk 17 m²,Suchdolské náměstí, Praha 6 - Suchdol,2 550 000 Kč,/detail/prodej/byt/1+kk/praha-suchdol-suchdolske-namesti/1312692044
Prodej bytu 1+kk 17 m²,Prosecká, Praha 9 - Prosek,2 590 000 Kč,/detail/prodej/byt/1+kk/praha-prosek-prosecka/2091541580
Prodej bytu 1+kk 17 m²,Prosecká, Praha 9 - Prosek,2 590 000 Kč,/detail/prodej/byt/1+kk/praha-prosek-prosecka/1135240268
Prodej bytu 1+kk 24 m²,Děčínská, Praha 8 - Střížkov,2 650 000 Kč,/detail/prodej/byt/1+kk/praha-strizkov-decinska/710431820
Prodej bytu 1+kk 39 m²,Na Plzeňce, Praha 5 - Smíchov,2 750 000 Kč,/detail/prodej/byt/1+kk/praha-smichov-na-plzence/1196573772